CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
MW916050.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT50 mitochondrion, complete genome
MW916049.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT49 mitochondrion, complete genome
MW916048.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT46 mitochondrion, complete genome
MW916047.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT45 mitochondrion, complete genome
MW916046.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT44 mitochondrion, complete genome
MW916045.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT43 mitochondrion, complete genome
MW916044.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT42 mitochondrion, complete genome
MW916043.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT41 mitochondrion, complete genome
MW916042.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT40 mitochondrion, complete genome
MW916041.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT39 mitochondrion, complete genome
MW916040.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT38 mitochondrion, complete genome
MW916039.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT37 mitochondrion, complete genome
MW916038.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT36 mitochondrion, complete genome
MW916037.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT35 mitochondrion, complete genome
MW916036.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT34 mitochondrion, complete genome
MW916035.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT33 mitochondrion, complete genome
MW916034.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT32 mitochondrion, complete genome
MW916033.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT31 mitochondrion, complete genome
MW916032.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT30 mitochondrion, complete genome
MW916031.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT29 mitochondrion, complete genome
MW916030.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT28 mitochondrion, complete genome
MW916029.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT27 mitochondrion, complete genome
MW916028.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT26 mitochondrion, complete genome
MW916027.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT25 mitochondrion, complete genome
MW916026.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT24 mitochondrion, complete genome
MW916025.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT23 mitochondrion, complete genome
MW916024.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT22 mitochondrion, complete genome
MW916023.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr21 mitochondrion, complete genome
MW916022.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr20 mitochondrion, complete genome
MW916021.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr19 mitochondrion, complete genome
MW916020.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT18 mitochondrion, complete genome
MW916019.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr17 mitochondrion, complete genome
MW916018.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr16 mitochondrion, complete genome
MW916017.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr14 mitochondrion, complete genome
MW916016.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogAfr13 mitochondrion, complete genome
MW916015.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT12 mitochondrion, complete genome
MT622509.1	Canis lupus	Canis lupus isolate DM1124 mitochondrion, complete genome
MZ042364.1	Canis lupus	Canis lupus isolate Wolf.WI.W081311JDN1 mitochondrion, complete genome
MZ042363.1	Canis lupus	Canis lupus isolate Wolf.WI.W051810DS1 mitochondrion, complete genome
MZ042362.1	Canis lupus	Canis lupus isolate Wolf.WI.W051810JH1 mitochondrion, complete genome
MZ042361.1	Canis lupus	Canis lupus isolate Wolf.WI.W081111WJP1 mitochondrion, complete genome
MZ042360.1	Canis lupus	Canis lupus isolate Wolf.WI.W092511BJC1 mitochondrion, complete genome
MZ042359.1	Canis lupus	Canis lupus isolate Wolf.WI.W051910BP2 mitochondrion, complete genome
MZ042358.1	Canis lupus	Canis lupus isolate Wolf.WI.W020411CAH2 mitochondrion, complete genome
MZ042346.1	Canis lupus	Canis lupus isolate Wolf.WY.O30104 mitochondrion, complete genome
MZ042345.1	Canis lupus	Canis lupus isolate Wolf.WY.O30103 mitochondrion, complete genome
MZ042343.1	Canis lupus	Canis lupus isolate Wolf.WI.W082010BK1 mitochondrion, complete genome
MZ042342.1	Canis lupus	Canis lupus isolate Wolf.WI.W060411ADW1 mitochondrion, complete genome
MZ042341.1	Canis lupus	Canis lupus isolate Wolf.WI.W051910BP3 mitochondrion, complete genome
MZ042340.1	Canis lupus	Canis lupus isolate Wolf.WI.W092811JIM1 mitochondrion, complete genome
MZ042339.1	Canis lupus	Canis lupus isolate Wolf.WI.J30945 mitochondrion, complete genome
MZ042338.1	Canis lupus	Canis lupus isolate Wolf.WY.O21375 mitochondrion, complete genome
MZ042337.1	Canis lupus	Canis lupus isolate Wolf.WY.O10741 mitochondrion, complete genome
MZ042336.1	Canis lupus	Canis lupus isolate Wolf.WY.O31009 mitochondrion, complete genome
MZ042335.1	Canis lupus	Canis lupus isolate Wolf.WY.O10737 mitochondrion, complete genome
MZ042334.1	Canis lupus	Canis lupus isolate Wolf.ID.N20749 mitochondrion, complete genome
MZ042333.1	Canis lupus	Canis lupus isolate Wolf.WY.O30105 mitochondrion, complete genome
MZ042332.1	Canis lupus	Canis lupus isolate Wolf.WY.O10735 mitochondrion, complete genome
MZ042331.1	Canis lupus	Canis lupus isolate Wolf.WY.O10734 mitochondrion, complete genome
MZ042330.1	Canis lupus	Canis lupus isolate Wolf.ID.N20748 mitochondrion, complete genome
MZ042329.1	Canis lupus	Canis lupus isolate Wolf.WY.O10742 mitochondrion, complete genome
MZ042328.1	Canis lupus	Canis lupus isolate Wolf.ID.N20737 mitochondrion, complete genome
MZ042327.1	Canis lupus	Canis lupus isolate Wolf.ID.N20735 mitochondrion, complete genome
MZ042326.1	Canis lupus	Canis lupus isolate Wolf.ID.N20736 mitochondrion, complete genome
MZ042325.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00111.Pekingese mitochondrion, complete genome
MZ042324.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00001 mitochondrion, complete genome
MZ042323.1	Canis lupus baileyi	Canis lupus baileyi isolate Mexican_Wolf.1293 mitochondrion, complete genome
MZ042322.1	Canis lupus baileyi	Canis lupus baileyi isolate Mexican_Wolf.1294 mitochondrion, complete genome
MZ042321.1	Canis lupus baileyi	Canis lupus baileyi isolate Mexican_Wolf.1126 mitochondrion, complete genome
MZ042320.1	Canis lupus baileyi	Canis lupus baileyi isolate Mexican_Wolf.1292 mitochondrion, complete genome
MZ042319.1	Canis lupus baileyi	Canis lupus baileyi isolate Mexican_Wolf.1291 mitochondrion, complete genome
