CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
DQ480497.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed West Highland White Terrier from Sweden mitochondrion, complete genome
DQ480496.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Irish Soft Coated Wheaten Terrier from Sweden mitochondrion, complete genome
DQ480495.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Cocker Spaniel from Sweden mitochondrion, complete genome
DQ480494.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Poodle from Sweden mitochondrion, complete genome
DQ480493.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Black Russian Terrier from Sweden mitochondrion, complete genome
DQ480492.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Jamthund from Sweden mitochondrion, complete genome
DQ480491.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Irish Setter from Sweden mitochondrion, complete genome
DQ480490.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Flat Coated Retriever from Sweden mitochondrion, complete genome
DQ480489.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed German Shepherd from Sweden mitochondrion, complete genome
AY729880.1	Canis lupus familiaris	Canis familiaris mitochondrion, complete genome
AY656755.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Sapsaree mitochondrion, complete genome
AY656754.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Chinese Crested mitochondrion, complete genome
AY656753.1	Canis lupus familiaris	Canis lupus familiaris isolate 2 breed Irish Setter mitochondrion, complete genome
AY656752.1	Canis lupus familiaris	Canis lupus familiaris isolate 2 breed Standard Schnauzer mitochondrion, complete genome
AY656751.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Gordon Setter mitochondrion, complete genome
AY656750.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Leonberger mitochondrion, complete genome
AY656749.1	Canis lupus familiaris	Canis lupus familiaris isolate 2 breed Saint Bernard mitochondrion, complete genome
AY656748.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Airedale Terrier mitochondrion, complete genome
AY656747.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Welsh Springer Spaniel mitochondrion, complete genome
AY656746.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Standard Schnauzer mitochondrion, complete genome
AY656745.1	Canis lupus familiaris	Canis lupus familiaris isolate 2 breed English Springer Spaniel mitochondrion, complete genome
AY656744.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed English Springer Spaniel mitochondrion, complete genome
AY656743.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Saint Bernard mitochondrion, complete genome
AY656742.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Old English Sheepdog mitochondrion, complete genome
AY656741.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Irish Setter mitochondrion, complete genome
AY656740.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Kerry Blue Terrier mitochondrion, complete genome
AY656739.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Poodle mitochondrion, complete genome
AY656738.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Jack Russell Terrier mitochondrion, complete genome
AY656737.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Basenji mitochondrion, complete genome
U96639.2	Canis lupus familiaris	Canis familiaris mitochondrion, complete genome
HM048871.1	Canis lupus familiaris	Canis lupus familiaris breed Tibetan Mastiff mitochondrion, complete genome
GQ374438.1	Canis lupus chanco	Canis lupus chanco mitochondrion, complete genome
FJ817364.1	Canis lupus familiaris	Canis lupus familiaris isolate UnAffected2 mitochondrion, complete genome
FJ817363.1	Canis lupus familiaris	Canis lupus familiaris isolate UnAffected1 mitochondrion, complete genome
FJ817362.1	Canis lupus familiaris	Canis lupus familiaris isolate Close_relative mitochondrion, complete genome
FJ817361.1	Canis lupus familiaris	Canis lupus familiaris isolate Affected4 mitochondrion, complete genome
FJ817360.1	Canis lupus familiaris	Canis lupus familiaris isolate Affected3 mitochondrion, complete genome
FJ817359.1	Canis lupus familiaris	Canis lupus familiaris isolate Affected2 mitochondrion, complete genome
FJ817358.1	Canis lupus familiaris	Canis lupus familiaris isolate Affected1 mitochondrion, complete genome
FJ032363.2	Canis lupus laniger	Canis lupus laniger mitochondrion, complete genome
AB048590.1	Canis lupus familiaris	Canis lupus familiaris mitochondrial genes for tRNA-glu, cytochrome b, tRNA-thr, tRNA-pro, D-loop, tRNA-phe, 12S rRNA, tRNA-val, 16S rRNA, tRNA-leu, NADH dehydrogenase subunit 1, tRNA-ile, complete cds
KU291095.1	Canis lupus familiaris	Canis lupus familiaris isolate 99T mitochondrion, complete genome
KU291094.1	Canis lupus familiaris	Canis lupus familiaris isolate 99H mitochondrion, complete genome
KU291093.1	Canis lupus familiaris	Canis lupus familiaris isolate 98T mitochondrion, complete genome
KU291092.1	Canis lupus familiaris	Canis lupus familiaris isolate 98H1 mitochondrion, complete genome
KU291091.1	Canis lupus familiaris	Canis lupus familiaris isolate 96T mitochondrion, complete genome
KU291090.1	Canis lupus familiaris	Canis lupus familiaris isolate 96H1 mitochondrion, complete genome
KU291089.1	Canis lupus familiaris	Canis lupus familiaris isolate 95T mitochondrion, complete genome
KU291088.1	Canis lupus familiaris	Canis lupus familiaris isolate 95H1 mitochondrion, complete genome
KU291087.1	Canis lupus familiaris	Canis lupus familiaris isolate 94T mitochondrion, complete genome
KU291086.1	Canis lupus familiaris	Canis lupus familiaris isolate 94H mitochondrion, complete genome
KU291085.1	Canis lupus familiaris	Canis lupus familiaris isolate 93T mitochondrion, complete genome
KU291084.1	Canis lupus familiaris	Canis lupus familiaris isolate 93H1 mitochondrion, complete genome
KU291083.1	Canis lupus familiaris	Canis lupus familiaris isolate 92T mitochondrion, complete genome
KU291082.1	Canis lupus familiaris	Canis lupus familiaris isolate 927H mitochondrion, complete genome
KU291081.1	Canis lupus familiaris	Canis lupus familiaris isolate 926H mitochondrion, complete genome
KU291080.1	Canis lupus familiaris	Canis lupus familiaris isolate 91H mitochondrion, complete genome
KU291079.1	Canis lupus familiaris	Canis lupus familiaris isolate 90T mitochondrion, complete genome
KU291078.1	Canis lupus familiaris	Canis lupus familiaris isolate 90H mitochondrion, complete genome
KU291077.1	Canis lupus familiaris	Canis lupus familiaris isolate 89T mitochondrion, complete genome
KU291076.1	Canis lupus familiaris	Canis lupus familiaris isolate 89H mitochondrion, complete genome
KU291075.1	Canis lupus familiaris	Canis lupus familiaris isolate 88T mitochondrion, complete genome
KU291074.1	Canis lupus familiaris	Canis lupus familiaris isolate 875T mitochondrion, complete genome
KU291073.1	Canis lupus familiaris	Canis lupus familiaris isolate 875H mitochondrion, complete genome
KU291072.1	Canis lupus familiaris	Canis lupus familiaris isolate 874T mitochondrion, complete genome
KU291071.1	Canis lupus familiaris	Canis lupus familiaris isolate 874H mitochondrion, complete genome
KU291070.1	Canis lupus familiaris	Canis lupus familiaris isolate 873T mitochondrion, complete genome
KU291069.1	Canis lupus familiaris	Canis lupus familiaris isolate 873H mitochondrion, complete genome
KU291068.1	Canis lupus familiaris	Canis lupus familiaris isolate 870H1 mitochondrion, complete genome
KU291067.1	Canis lupus familiaris	Canis lupus familiaris isolate 86T mitochondrion, complete genome
KU291066.1	Canis lupus familiaris	Canis lupus familiaris isolate 86H1 mitochondrion, complete genome
KU291065.1	Canis lupus familiaris	Canis lupus familiaris isolate 869T mitochondrion, complete genome
KU291064.1	Canis lupus familiaris	Canis lupus familiaris isolate 868T mitochondrion, complete genome
KU291063.1	Canis lupus familiaris	Canis lupus familiaris isolate 867T mitochondrion, complete genome
KU291062.1	Canis lupus familiaris	Canis lupus familiaris isolate 867H mitochondrion, complete genome
KU291061.1	Canis lupus familiaris	Canis lupus familiaris isolate 866T mitochondrion, complete genome
KU291060.1	Canis lupus familiaris	Canis lupus familiaris isolate 866H mitochondrion, complete genome
KU291059.1	Canis lupus familiaris	Canis lupus familiaris isolate 865H mitochondrion, complete genome
KU291058.1	Canis lupus familiaris	Canis lupus familiaris isolate 862T mitochondrion, complete genome
KU291057.1	Canis lupus familiaris	Canis lupus familiaris isolate 861T mitochondrion, complete genome
KU291056.1	Canis lupus familiaris	Canis lupus familiaris isolate 861H mitochondrion, complete genome
KU291055.1	Canis lupus familiaris	Canis lupus familiaris isolate 860T mitochondrion, complete genome
KU291054.1	Canis lupus familiaris	Canis lupus familiaris isolate 860H mitochondrion, complete genome
KU291053.1	Canis lupus familiaris	Canis lupus familiaris isolate 85T mitochondrion, complete genome
KU291052.1	Canis lupus familiaris	Canis lupus familiaris isolate 859T mitochondrion, complete genome
KU291051.1	Canis lupus familiaris	Canis lupus familiaris isolate 859H mitochondrion, complete genome
KU291050.1	Canis lupus familiaris	Canis lupus familiaris isolate 858T mitochondrion, complete genome
KU291049.1	Canis lupus familiaris	Canis lupus familiaris isolate 858H mitochondrion, complete genome
KU291048.1	Canis lupus familiaris	Canis lupus familiaris isolate 857T mitochondrion, complete genome
KU291047.1	Canis lupus familiaris	Canis lupus familiaris isolate 857H mitochondrion, complete genome
KU291046.1	Canis lupus familiaris	Canis lupus familiaris isolate 856T mitochondrion, complete genome
KU291045.1	Canis lupus familiaris	Canis lupus familiaris isolate 855T mitochondrion, complete genome
KU291044.1	Canis lupus familiaris	Canis lupus familiaris isolate 854T mitochondrion, complete genome
KU291043.1	Canis lupus familiaris	Canis lupus familiaris isolate 854H mitochondrion, complete genome
KU291042.1	Canis lupus familiaris	Canis lupus familiaris isolate 853T mitochondrion, complete genome
KU291041.1	Canis lupus familiaris	Canis lupus familiaris isolate 853H mitochondrion, complete genome
KU291040.1	Canis lupus familiaris	Canis lupus familiaris isolate 851T mitochondrion, complete genome
KU291039.1	Canis lupus familiaris	Canis lupus familiaris isolate 851H mitochondrion, complete genome
KU291038.1	Canis lupus familiaris	Canis lupus familiaris isolate 850T mitochondrion, complete genome
KU291037.1	Canis lupus familiaris	Canis lupus familiaris isolate 850H mitochondrion, complete genome
KU291036.1	Canis lupus familiaris	Canis lupus familiaris isolate 84T mitochondrion, complete genome
KU291035.1	Canis lupus familiaris	Canis lupus familiaris isolate 84H1 mitochondrion, complete genome
KU291034.1	Canis lupus familiaris	Canis lupus familiaris isolate 849T mitochondrion, complete genome
KU291033.1	Canis lupus familiaris	Canis lupus familiaris isolate 849H mitochondrion, complete genome
KU291032.1	Canis lupus familiaris	Canis lupus familiaris isolate 848T mitochondrion, complete genome
KU291031.1	Canis lupus familiaris	Canis lupus familiaris isolate 847T mitochondrion, complete genome
KU291030.1	Canis lupus familiaris	Canis lupus familiaris isolate 847H1 mitochondrion, complete genome
KU291029.1	Canis lupus familiaris	Canis lupus familiaris isolate 83T mitochondrion, complete genome
KU291028.1	Canis lupus familiaris	Canis lupus familiaris isolate 839T2 mitochondrion, complete genome
KU291027.1	Canis lupus familiaris	Canis lupus familiaris isolate 839T1 mitochondrion, complete genome
KU291026.1	Canis lupus familiaris	Canis lupus familiaris isolate 835T mitochondrion, complete genome
KU291025.1	Canis lupus familiaris	Canis lupus familiaris isolate 835H mitochondrion, complete genome
KU291024.1	Canis lupus familiaris	Canis lupus familiaris isolate 834T1 mitochondrion, complete genome
KU291023.1	Canis lupus familiaris	Canis lupus familiaris isolate 833T1 mitochondrion, complete genome
KU291022.1	Canis lupus familiaris	Canis lupus familiaris isolate 832T mitochondrion, complete genome
KU291021.1	Canis lupus familiaris	Canis lupus familiaris isolate 832H mitochondrion, complete genome
KU291020.1	Canis lupus familiaris	Canis lupus familiaris isolate 831T mitochondrion, complete genome
KU291019.1	Canis lupus familiaris	Canis lupus familiaris isolate 831H mitochondrion, complete genome
KU291018.1	Canis lupus familiaris	Canis lupus familiaris isolate 830T mitochondrion, complete genome
KU291017.1	Canis lupus familiaris	Canis lupus familiaris isolate 830H mitochondrion, complete genome
KU291016.1	Canis lupus familiaris	Canis lupus familiaris isolate 82T mitochondrion, complete genome
KU291015.1	Canis lupus familiaris	Canis lupus familiaris isolate 82H1 mitochondrion, complete genome
KU291014.1	Canis lupus familiaris	Canis lupus familiaris isolate 829T mitochondrion, complete genome
KU291013.1	Canis lupus familiaris	Canis lupus familiaris isolate 829H mitochondrion, complete genome
KU291012.1	Canis lupus familiaris	Canis lupus familiaris isolate 828T mitochondrion, complete genome
KU291011.1	Canis lupus familiaris	Canis lupus familiaris isolate 828H mitochondrion, complete genome
KU291010.1	Canis lupus familiaris	Canis lupus familiaris isolate 827T mitochondrion, complete genome
KU291009.1	Canis lupus familiaris	Canis lupus familiaris isolate 824T mitochondrion, complete genome
KU291008.1	Canis lupus familiaris	Canis lupus familiaris isolate 824H mitochondrion, complete genome
KU291007.1	Canis lupus familiaris	Canis lupus familiaris isolate 823T mitochondrion, complete genome
KU291006.1	Canis lupus familiaris	Canis lupus familiaris isolate 823H mitochondrion, complete genome
KU291005.1	Canis lupus familiaris	Canis lupus familiaris isolate 822T mitochondrion, complete genome
KU291004.1	Canis lupus familiaris	Canis lupus familiaris isolate 821T mitochondrion, complete genome
KU291003.1	Canis lupus familiaris	Canis lupus familiaris isolate 821H mitochondrion, complete genome
KU291002.1	Canis lupus familiaris	Canis lupus familiaris isolate 820T mitochondrion, complete genome
KU291001.1	Canis lupus familiaris	Canis lupus familiaris isolate 820H mitochondrion, complete genome
KU291000.1	Canis lupus familiaris	Canis lupus familiaris isolate 81T mitochondrion, complete genome
KU290999.1	Canis lupus familiaris	Canis lupus familiaris isolate 819T mitochondrion, complete genome
KU290998.1	Canis lupus familiaris	Canis lupus familiaris isolate 819H mitochondrion, complete genome
KU290997.1	Canis lupus familiaris	Canis lupus familiaris isolate 817T mitochondrion, complete genome
KU290996.1	Canis lupus familiaris	Canis lupus familiaris isolate 816T mitochondrion, complete genome
KU290995.1	Canis lupus familiaris	Canis lupus familiaris isolate 815T mitochondrion, complete genome
KU290994.1	Canis lupus familiaris	Canis lupus familiaris isolate 815H mitochondrion, complete genome
KU290993.1	Canis lupus familiaris	Canis lupus familiaris isolate 814T mitochondrion, complete genome
KU290992.1	Canis lupus familiaris	Canis lupus familiaris isolate 814H mitochondrion, complete genome
KU290991.1	Canis lupus familiaris	Canis lupus familiaris isolate 813T mitochondrion, complete genome
KU290990.1	Canis lupus familiaris	Canis lupus familiaris isolate 813H mitochondrion, complete genome
KU290989.1	Canis lupus familiaris	Canis lupus familiaris isolate 812T mitochondrion, complete genome
KU290988.1	Canis lupus familiaris	Canis lupus familiaris isolate 812H mitochondrion, complete genome
KU290987.1	Canis lupus familiaris	Canis lupus familiaris isolate 810T1 mitochondrion, complete genome
KU290986.1	Canis lupus familiaris	Canis lupus familiaris isolate 810H1 mitochondrion, complete genome
KU290985.1	Canis lupus familiaris	Canis lupus familiaris isolate 80T mitochondrion, complete genome
KU290984.1	Canis lupus familiaris	Canis lupus familiaris isolate 80H1 mitochondrion, complete genome
KU290983.1	Canis lupus familiaris	Canis lupus familiaris isolate 809T mitochondrion, complete genome
KU290982.1	Canis lupus familiaris	Canis lupus familiaris isolate 808T mitochondrion, complete genome
KU290981.1	Canis lupus familiaris	Canis lupus familiaris isolate 808H mitochondrion, complete genome
KU290980.1	Canis lupus familiaris	Canis lupus familiaris isolate 807T1 mitochondrion, complete genome
KU290979.1	Canis lupus familiaris	Canis lupus familiaris isolate 805T mitochondrion, complete genome
KU290978.1	Canis lupus familiaris	Canis lupus familiaris isolate 804T mitochondrion, complete genome
KU290977.1	Canis lupus familiaris	Canis lupus familiaris isolate 803T mitochondrion, complete genome
KU290976.1	Canis lupus familiaris	Canis lupus familiaris isolate 802T mitochondrion, complete genome
KU290975.1	Canis lupus familiaris	Canis lupus familiaris isolate 801T mitochondrion, complete genome
KU290974.1	Canis lupus familiaris	Canis lupus familiaris isolate 800T mitochondrion, complete genome
KU290973.1	Canis lupus familiaris	Canis lupus familiaris isolate 7T mitochondrion, complete genome
KU290972.1	Canis lupus familiaris	Canis lupus familiaris isolate 79T mitochondrion, complete genome
KU290971.1	Canis lupus familiaris	Canis lupus familiaris isolate 79H mitochondrion, complete genome
KU290970.1	Canis lupus familiaris	Canis lupus familiaris isolate 799T mitochondrion, complete genome
KU290969.1	Canis lupus familiaris	Canis lupus familiaris isolate 798T mitochondrion, complete genome
KU290968.1	Canis lupus familiaris	Canis lupus familiaris isolate 798H mitochondrion, complete genome
KU290967.1	Canis lupus familiaris	Canis lupus familiaris isolate 796T mitochondrion, complete genome
KU290966.1	Canis lupus familiaris	Canis lupus familiaris isolate 795T mitochondrion, complete genome
KU290965.1	Canis lupus familiaris	Canis lupus familiaris isolate 795H mitochondrion, complete genome
KU290964.1	Canis lupus familiaris	Canis lupus familiaris isolate 794T mitochondrion, complete genome
KU290963.1	Canis lupus familiaris	Canis lupus familiaris isolate 794H mitochondrion, complete genome
KU290962.1	Canis lupus familiaris	Canis lupus familiaris isolate 793T mitochondrion, complete genome
KU290961.1	Canis lupus familiaris	Canis lupus familiaris isolate 793H mitochondrion, complete genome
KU290960.1	Canis lupus familiaris	Canis lupus familiaris isolate 792T mitochondrion, complete genome
KU290959.1	Canis lupus familiaris	Canis lupus familiaris isolate 792H mitochondrion, complete genome
KU290958.1	Canis lupus familiaris	Canis lupus familiaris isolate 791T mitochondrion, complete genome
KU290957.1	Canis lupus familiaris	Canis lupus familiaris isolate 791H mitochondrion, complete genome
KU290956.1	Canis lupus familiaris	Canis lupus familiaris isolate 790T mitochondrion, complete genome
KU290955.1	Canis lupus familiaris	Canis lupus familiaris isolate 790H mitochondrion, complete genome
KU290954.1	Canis lupus familiaris	Canis lupus familiaris isolate 782T mitochondrion, complete genome
KU290953.1	Canis lupus familiaris	Canis lupus familiaris isolate 782H mitochondrion, complete genome
KU290952.1	Canis lupus familiaris	Canis lupus familiaris isolate 775T2 mitochondrion, complete genome
KU290951.1	Canis lupus familiaris	Canis lupus familiaris isolate 775H mitochondrion, complete genome
KU290950.1	Canis lupus familiaris	Canis lupus familiaris isolate 774T1 mitochondrion, complete genome
KU290949.1	Canis lupus familiaris	Canis lupus familiaris isolate 773T1 mitochondrion, complete genome
KU290948.1	Canis lupus familiaris	Canis lupus familiaris isolate 772T1 mitochondrion, complete genome
KU290947.1	Canis lupus familiaris	Canis lupus familiaris isolate 771T1 mitochondrion, complete genome
KU290946.1	Canis lupus familiaris	Canis lupus familiaris isolate 770T1 mitochondrion, complete genome
KU290945.1	Canis lupus familiaris	Canis lupus familiaris isolate 769T1 mitochondrion, complete genome
KU290944.1	Canis lupus familiaris	Canis lupus familiaris isolate 767T mitochondrion, complete genome
KU290943.1	Canis lupus familiaris	Canis lupus familiaris isolate 766T1 mitochondrion, complete genome
KU290942.1	Canis lupus familiaris	Canis lupus familiaris isolate 764T mitochondrion, complete genome
KU290941.1	Canis lupus familiaris	Canis lupus familiaris isolate 764H mitochondrion, complete genome
KU290940.1	Canis lupus familiaris	Canis lupus familiaris isolate 763T mitochondrion, complete genome
KU290939.1	Canis lupus familiaris	Canis lupus familiaris isolate 762T mitochondrion, complete genome
KU290938.1	Canis lupus familiaris	Canis lupus familiaris isolate 761T1 mitochondrion, complete genome
KU290937.1	Canis lupus familiaris	Canis lupus familiaris isolate 761H mitochondrion, complete genome
KU290936.1	Canis lupus familiaris	Canis lupus familiaris isolate 760T mitochondrion, complete genome
KU290935.1	Canis lupus familiaris	Canis lupus familiaris isolate 759T mitochondrion, complete genome
KU290934.1	Canis lupus familiaris	Canis lupus familiaris isolate 759H mitochondrion, complete genome
KU290933.1	Canis lupus familiaris	Canis lupus familiaris isolate 758T mitochondrion, complete genome
KU290932.1	Canis lupus familiaris	Canis lupus familiaris isolate 757T mitochondrion, complete genome
KU290931.1	Canis lupus familiaris	Canis lupus familiaris isolate 756T mitochondrion, complete genome
KU290930.1	Canis lupus familiaris	Canis lupus familiaris isolate 740T mitochondrion, complete genome
KU290929.1	Canis lupus familiaris	Canis lupus familiaris isolate 740H mitochondrion, complete genome
KU290928.1	Canis lupus familiaris	Canis lupus familiaris isolate 739T mitochondrion, complete genome
KU290927.1	Canis lupus familiaris	Canis lupus familiaris isolate 739H mitochondrion, complete genome
KU290926.1	Canis lupus familiaris	Canis lupus familiaris isolate 738T mitochondrion, complete genome
KU290925.1	Canis lupus familiaris	Canis lupus familiaris isolate 738H mitochondrion, complete genome
KU290924.1	Canis lupus familiaris	Canis lupus familiaris isolate 714T mitochondrion, complete genome
KU290923.1	Canis lupus familiaris	Canis lupus familiaris isolate 711T1 mitochondrion, complete genome
KU290922.1	Canis lupus familiaris	Canis lupus familiaris isolate 710T mitochondrion, complete genome
KU290921.1	Canis lupus familiaris	Canis lupus familiaris isolate 708T mitochondrion, complete genome
KU290920.1	Canis lupus familiaris	Canis lupus familiaris isolate 706T1 mitochondrion, complete genome
KU290919.1	Canis lupus familiaris	Canis lupus familiaris isolate 706H1 mitochondrion, complete genome
KU290918.1	Canis lupus familiaris	Canis lupus familiaris isolate 705T1 mitochondrion, complete genome
KU290917.1	Canis lupus familiaris	Canis lupus familiaris isolate 704T1 mitochondrion, complete genome
KU290916.1	Canis lupus familiaris	Canis lupus familiaris isolate 703T mitochondrion, complete genome
KU290915.1	Canis lupus familiaris	Canis lupus familiaris isolate 6T1 mitochondrion, complete genome
KU290914.1	Canis lupus familiaris	Canis lupus familiaris isolate 694T mitochondrion, complete genome
KU290913.1	Canis lupus familiaris	Canis lupus familiaris isolate 694H mitochondrion, complete genome
KU290912.1	Canis lupus familiaris	Canis lupus familiaris isolate 693T mitochondrion, complete genome
KU290911.1	Canis lupus familiaris	Canis lupus familiaris isolate 693H mitochondrion, complete genome
KU290910.1	Canis lupus familiaris	Canis lupus familiaris isolate 692H mitochondrion, complete genome
KU290909.1	Canis lupus familiaris	Canis lupus familiaris isolate 691T mitochondrion, complete genome
KU290908.1	Canis lupus familiaris	Canis lupus familiaris isolate 691H mitochondrion, complete genome
KU290907.1	Canis lupus familiaris	Canis lupus familiaris isolate 687T mitochondrion, complete genome
KU290906.1	Canis lupus familiaris	Canis lupus familiaris isolate 687H mitochondrion, complete genome
KU290905.1	Canis lupus familiaris	Canis lupus familiaris isolate 686T mitochondrion, complete genome
KU290904.1	Canis lupus familiaris	Canis lupus familiaris isolate 685T mitochondrion, complete genome
KU290903.1	Canis lupus familiaris	Canis lupus familiaris isolate 684T mitochondrion, complete genome
KU290902.1	Canis lupus familiaris	Canis lupus familiaris isolate 684H mitochondrion, complete genome
KU290901.1	Canis lupus familiaris	Canis lupus familiaris isolate 683T mitochondrion, complete genome
KU290900.1	Canis lupus familiaris	Canis lupus familiaris isolate 683H mitochondrion, complete genome
KU290899.1	Canis lupus familiaris	Canis lupus familiaris isolate 682T mitochondrion, complete genome
KU290898.1	Canis lupus familiaris	Canis lupus familiaris isolate 682H mitochondrion, complete genome
KU290897.1	Canis lupus familiaris	Canis lupus familiaris isolate 681T mitochondrion, complete genome
KU290896.1	Canis lupus familiaris	Canis lupus familiaris isolate 681H mitochondrion, complete genome
KU290895.1	Canis lupus familiaris	Canis lupus familiaris isolate 680T mitochondrion, complete genome
KU290894.1	Canis lupus familiaris	Canis lupus familiaris isolate 680H mitochondrion, complete genome
KU290893.1	Canis lupus familiaris	Canis lupus familiaris isolate 667T mitochondrion, complete genome
KU290892.1	Canis lupus familiaris	Canis lupus familiaris isolate 667H mitochondrion, complete genome
KU290891.1	Canis lupus familiaris	Canis lupus familiaris isolate 666T mitochondrion, complete genome
KU290890.1	Canis lupus familiaris	Canis lupus familiaris isolate 666H mitochondrion, complete genome
KU290889.1	Canis lupus familiaris	Canis lupus familiaris isolate 661T mitochondrion, complete genome
KU290888.1	Canis lupus familiaris	Canis lupus familiaris isolate 660T mitochondrion, complete genome
KU290887.1	Canis lupus familiaris	Canis lupus familiaris isolate 660H mitochondrion, complete genome
KU290886.1	Canis lupus familiaris	Canis lupus familiaris isolate 656T mitochondrion, complete genome
KU290885.1	Canis lupus familiaris	Canis lupus familiaris isolate 656H mitochondrion, complete genome
KU290884.1	Canis lupus familiaris	Canis lupus familiaris isolate 655H mitochondrion, complete genome
KU290883.1	Canis lupus familiaris	Canis lupus familiaris isolate 653T mitochondrion, complete genome
KU290882.1	Canis lupus familiaris	Canis lupus familiaris isolate 652T mitochondrion, complete genome
KU290881.1	Canis lupus familiaris	Canis lupus familiaris isolate 650T mitochondrion, complete genome
KU290880.1	Canis lupus familiaris	Canis lupus familiaris isolate 650H mitochondrion, complete genome
KU290879.1	Canis lupus familiaris	Canis lupus familiaris isolate 649T mitochondrion, complete genome
KU290878.1	Canis lupus familiaris	Canis lupus familiaris isolate 647T mitochondrion, complete genome
KU290877.1	Canis lupus familiaris	Canis lupus familiaris isolate 647H mitochondrion, complete genome
KU290876.1	Canis lupus familiaris	Canis lupus familiaris isolate 646H mitochondrion, complete genome
KU290875.1	Canis lupus familiaris	Canis lupus familiaris isolate 645T mitochondrion, complete genome
KU290874.1	Canis lupus familiaris	Canis lupus familiaris isolate 645H mitochondrion, complete genome
KU290873.1	Canis lupus familiaris	Canis lupus familiaris isolate 644T mitochondrion, complete genome
KU290872.1	Canis lupus familiaris	Canis lupus familiaris isolate 644H mitochondrion, complete genome
KU290871.1	Canis lupus familiaris	Canis lupus familiaris isolate 642T1 mitochondrion, complete genome
KU290870.1	Canis lupus familiaris	Canis lupus familiaris isolate 640T mitochondrion, complete genome
KU290869.1	Canis lupus familiaris	Canis lupus familiaris isolate 639T1 mitochondrion, complete genome
KU290868.1	Canis lupus familiaris	Canis lupus familiaris isolate 639H mitochondrion, complete genome
KU290867.1	Canis lupus familiaris	Canis lupus familiaris isolate 638T mitochondrion, complete genome
KU290866.1	Canis lupus familiaris	Canis lupus familiaris isolate 636T mitochondrion, complete genome
KU290865.1	Canis lupus familiaris	Canis lupus familiaris isolate 635T mitochondrion, complete genome
KU290864.1	Canis lupus familiaris	Canis lupus familiaris isolate 635H mitochondrion, complete genome
KU290863.1	Canis lupus familiaris	Canis lupus familiaris isolate 634T mitochondrion, complete genome
KU290862.1	Canis lupus familiaris	Canis lupus familiaris isolate 631T mitochondrion, complete genome
KU290861.1	Canis lupus familiaris	Canis lupus familiaris isolate 630T mitochondrion, complete genome
KU290860.1	Canis lupus familiaris	Canis lupus familiaris isolate 62T mitochondrion, complete genome
KU290859.1	Canis lupus familiaris	Canis lupus familiaris isolate 629T mitochondrion, complete genome
KU290858.1	Canis lupus familiaris	Canis lupus familiaris isolate 628T1 mitochondrion, complete genome
KU290857.1	Canis lupus familiaris	Canis lupus familiaris isolate 627T1 mitochondrion, complete genome
KU290856.1	Canis lupus familiaris	Canis lupus familiaris isolate 625T mitochondrion, complete genome
KU290855.1	Canis lupus familiaris	Canis lupus familiaris isolate 625H mitochondrion, complete genome
KU290854.1	Canis lupus familiaris	Canis lupus familiaris isolate 624T mitochondrion, complete genome
KU290853.1	Canis lupus familiaris	Canis lupus familiaris isolate 624H mitochondrion, complete genome
KU290852.1	Canis lupus familiaris	Canis lupus familiaris isolate 623T mitochondrion, complete genome
KU290851.1	Canis lupus familiaris	Canis lupus familiaris isolate 622T mitochondrion, complete genome
KU290850.1	Canis lupus familiaris	Canis lupus familiaris isolate 621T mitochondrion, complete genome
KU290849.1	Canis lupus familiaris	Canis lupus familiaris isolate 61T mitochondrion, complete genome
KU290848.1	Canis lupus familiaris	Canis lupus familiaris isolate 618T mitochondrion, complete genome
KU290847.1	Canis lupus familiaris	Canis lupus familiaris isolate 616T mitochondrion, complete genome
KU290846.1	Canis lupus familiaris	Canis lupus familiaris isolate 615T mitochondrion, complete genome
KU290845.1	Canis lupus familiaris	Canis lupus familiaris isolate 614T mitochondrion, complete genome
